task,model,provenance,K,m,sigma,neff_spectral,neff_spectral_ratio,observed_max_dev,neff_moment,neff_moment_asymptotic,neff_moment_saturated
sst2,meta-llama/Llama-3.2-3B-Instruct,all,106,20,0.3431604865028247,3.009093734002144,0.028387676735869283,0.11815833333333332,11.077323955905149,3.561828135830286,False
sst2,meta-llama/Llama-3.2-3B-Instruct,all,106,50,0.3431604865028247,3.009093734002144,0.028387676735869283,0.07708333333333332,15.008298035087362,4.543635314306465,False
sst2,meta-llama/Llama-3.2-3B-Instruct,all,106,100,0.3431604865028247,3.009093734002144,0.028387676735869283,0.04810833333333333,14.292549146722816,4.366812953332163,False
sst2,meta-llama/Llama-3.2-3B-Instruct,all,106,200,0.3431604865028247,3.009093734002144,0.028387676735869283,0.02488750000000001,16.235107372434147,4.84494316706075,False
sst2,meta-llama/Llama-3.2-3B-Instruct,seed,10,20,0.30814859330452177,1.9388654185609848,0.1938865418560985,0.05374999999999999,2.806783311121972,1.3853968389329818,False
sst2,meta-llama/Llama-3.2-3B-Instruct,seed,10,50,0.30814859330452177,1.9388654185609848,0.1938865418560985,0.035824999999999996,3.2337077736600217,1.5000277103438802,False
sst2,meta-llama/Llama-3.2-3B-Instruct,seed,10,100,0.30814859330452177,1.9388654185609848,0.1938865418560985,0.02190833333333334,3.088769025377811,1.4609764966737844,False
sst2,meta-llama/Llama-3.2-3B-Instruct,seed,10,200,0.30814859330452177,1.9388654185609848,0.1938865418560985,0.011183333333333337,3.1764257092579125,1.4845817803655292,False
sst2,meta-llama/Llama-3.2-3B-Instruct,ape,88,20,0.34653406554891336,3.011959731970685,0.034226815136030514,0.11625833333333332,10.204349046592178,3.339839984019089,False
sst2,meta-llama/Llama-3.2-3B-Instruct,ape,88,50,0.34653406554891336,3.011959731970685,0.034226815136030514,0.07623333333333333,13.90595508413172,4.270972283148432,False
sst2,meta-llama/Llama-3.2-3B-Instruct,ape,88,100,0.34653406554891336,3.011959731970685,0.034226815136030514,0.04706666666666667,12.774531966762686,3.9890556651333178,False
sst2,meta-llama/Llama-3.2-3B-Instruct,ape,88,200,0.34653406554891336,3.011959731970685,0.034226815136030514,0.024483333333333343,14.71209366657249,4.470555058947573,False
sst2,meta-llama/Llama-3.2-3B-Instruct,mutation,8,20,0.34737507746590635,1.930060104766485,0.24125751309581062,0.05987499999999997,2.767063190104786,1.3748091153928166,False
sst2,meta-llama/Llama-3.2-3B-Instruct,mutation,8,50,0.34737507746590635,1.930060104766485,0.24125751309581062,0.03886666666666664,3.0695453970506748,1.4558054339684277,False
sst2,meta-llama/Llama-3.2-3B-Instruct,mutation,8,100,0.34737507746590635,1.930060104766485,0.24125751309581062,0.024899999999999988,3.122808769973924,1.4701382742560234,False
sst2,meta-llama/Llama-3.2-3B-Instruct,mutation,8,200,0.34737507746590635,1.930060104766485,0.24125751309581062,0.012037499999999986,2.9871894397198067,1.4336789345288834,False
