task,model,budget,is_optimum,N,m,feasible,true_mean,true_se,reported_mean,bias,regret
sst2,Qwen/Qwen2.5-1.5B-Instruct,1000,False,1,1000,False,,,,,
sst2,Qwen/Qwen2.5-1.5B-Instruct,1000,True,5,200,True,0.9251333333333333,0.0008451609547976231,0.9124333333333334,-0.01269999999999996,0.005277777777777774
sst2,Qwen/Qwen2.5-1.5B-Instruct,1000,False,10,100,True,0.9250444444444444,0.0007799470730269028,0.9217666666666667,-0.0032777777777777597,0.01085555555555554
sst2,Qwen/Qwen2.5-1.5B-Instruct,1000,False,25,40,True,0.9224222222222223,0.001077430056501408,0.9402499999999999,0.017827777777777783,0.01651111111111108
sst2,Qwen/Qwen2.5-1.5B-Instruct,1000,False,50,20,True,0.9185444444444445,0.0013909778419167625,0.9546666666666666,0.036122222222222215,0.02138888888888885
sst2,Qwen/Qwen2.5-1.5B-Instruct,1000,False,100,10,True,0.9129444444444444,0.001631889739905564,0.9656666666666668,0.05272222222222223,0.02705555555555551
sst2,Qwen/Qwen2.5-1.5B-Instruct,2000,False,1,2000,False,,,,,
sst2,Qwen/Qwen2.5-1.5B-Instruct,2000,False,5,400,False,,,,,
sst2,Qwen/Qwen2.5-1.5B-Instruct,2000,True,10,200,True,0.9269555555555556,0.0007452518403501142,0.9201166666666666,-0.006838888888888851,0.008744444444444431
sst2,Qwen/Qwen2.5-1.5B-Instruct,2000,False,25,80,True,0.9250999999999999,0.0008308383311248011,0.9330833333333332,0.007983333333333342,0.0140333333333333
sst2,Qwen/Qwen2.5-1.5B-Instruct,2000,False,50,40,True,0.9219333333333335,0.0010717525537546541,0.9461666666666667,0.024233333333333332,0.017944444444444402
sst2,Qwen/Qwen2.5-1.5B-Instruct,2000,False,100,20,True,0.9174222222222221,0.001297578315281661,0.9616666666666667,0.044244444444444433,0.02257777777777773
sst2,Qwen/Qwen2.5-1.5B-Instruct,5000,False,1,5000,False,,,,,
sst2,Qwen/Qwen2.5-1.5B-Instruct,5000,False,5,1000,False,,,,,
sst2,Qwen/Qwen2.5-1.5B-Instruct,5000,False,10,500,False,,,,,
sst2,Qwen/Qwen2.5-1.5B-Instruct,5000,True,25,200,True,0.9283333333333333,0.0006359516765205642,0.9236833333333334,-0.004649999999999957,0.010688888888888857
sst2,Qwen/Qwen2.5-1.5B-Instruct,5000,False,50,100,True,0.928011111111111,0.0006709447154433089,0.9347333333333334,0.006722222222222231,0.01189999999999996
sst2,Qwen/Qwen2.5-1.5B-Instruct,5000,False,100,50,True,0.9252777777777778,0.0007799446907522099,0.9473333333333332,0.022055555555555547,0.014722222222222177
