task,model,provenance,K,m,sigma,neff_spectral,neff_spectral_ratio,observed_max_dev,neff_moment,neff_moment_asymptotic,neff_moment_saturated
sst2,Qwen/Qwen2.5-1.5B-Instruct,all,105,20,0.3428507935920036,2.4941758766152287,0.023754055967764084,0.11129166666666666,9.239116711819955,3.092435821853269,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,all,105,50,0.3428507935920036,2.4941758766152287,0.023754055967764084,0.07370833333333333,12.822818780246768,4.001132337474243,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,all,105,100,0.3428507935920036,2.4941758766152287,0.023754055967764084,0.04519166666666668,11.546868922579568,3.68057778673602,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,all,105,200,0.3428507935920036,2.4941758766152287,0.023754055967764084,0.02331666666666667,12.838144917608101,4.004964585768196,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,seed,10,20,0.2790977526881138,1.52309946002829,0.15230994600282902,0.035074999999999974,2.031976895846361,1.1843780034075873,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,seed,10,50,0.2790977526881138,1.52309946002829,0.15230994600282902,0.025449999999999983,2.420235201825508,1.283319869161591,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,seed,10,100,0.2790977526881138,1.52309946002829,0.15230994600282902,0.015666666666666662,2.3558133925777445,1.2665804555586042,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,seed,10,200,0.2790977526881138,1.52309946002829,0.15230994600282902,0.008458333333333337,2.5497086440356047,1.3172363729063645,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,ape,87,20,0.3524950295384285,2.5024707609619226,0.028764031735194512,0.10959999999999999,8.176061496708416,2.817375550379463,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,ape,87,50,0.3524950295384285,2.5024707609619226,0.028764031735194512,0.07275000000000001,11.184332006483228,3.588929806310502,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,ape,87,100,0.3524950295384285,2.5024707609619226,0.028764031735194512,0.044550000000000006,10.10090731217127,3.3134272698101803,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,ape,87,200,0.3524950295384285,2.5024707609619226,0.028764031735194512,0.02287500000000001,10.980924399705838,3.5373932572923903,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,mutation,8,20,0.3068907695654017,1.7488389587393074,0.21860486984241342,0.04341666666666666,2.2493951004353097,1.239169437133292,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,mutation,8,50,0.3068907695654017,1.7488389587393074,0.21860486984241342,0.030275000000000017,2.6323616406880537,1.3390481501176636,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,mutation,8,100,0.3068907695654017,1.7488389587393074,0.21860486984241342,0.0190666666666667,2.619907776118059,1.3357546250885297,False
sst2,Qwen/Qwen2.5-1.5B-Instruct,mutation,8,200,0.3068907695654017,1.7488389587393074,0.21860486984241342,0.009712500000000039,2.6756238741488736,1.3505069843556645,False
